varname,group,type,freqtable,description
text\_meeting,2_text,String,0,"The English full text of the meeting record. Up to resolution 899 this is non-revised OCR text, later texts are assumed to be born-digital and the text is extracted from the PDF file as-is. WARNING: non-revised OCR text may contain errors and superfluous text from other documents if they were printed on the same page."
text\_ru,2_text,String,0,"The Russian full text of the resolution. Up to resolution 899 this is non-revised OCR text, later texts are assumed to be born-digital and the text is extracted from the PDF file as-is. WARNING: non-revised OCR text may contain errors and superfluous text from other documents if they were printed on the same page."
text\_zh,2_text,String,0,"The Chinese full text of the resolution. Up to resolution 899 this is non-revised OCR text, later texts are assumed to be born-digital and the text is extracted from the PDF file as-is. WARNING: non-revised OCR text may contain errors and superfluous text from other documents if they were printed on the same page."
agenda\_information,3_thematic,String,0,Information on the agenda. Curated by the UN Digital Library.
aggression,3_thematic,Logical,1,Whether the string \enquote{aggression} is present in the English text of the resolution.  Either TRUE or FALSE.
chapter6,3_thematic,Logical,1,Whether the string \enquote{Chapter VI} is present in the English text of the resolution. Either TRUE or FALSE.
chapter7,3_thematic,Logical,1,Whether the string \enquote{Chapter VII} is present in the English text of the resolution. Either TRUE or FALSE.
chapter8,3_thematic,Logical,1,Whether the string \enquote{Chapter VIII} is present in the English text of the resolution.  Either TRUE or FALSE.
contains,3_thematic,String,0,"The full name of an instrument annexed to a resolution, otherwise \enquote{NA}. Example: Statute of the International Tribunal for Rwanda (1994). Curated by the UN Digital Library."
human\_rights,3_thematic,Logical,1,Whether the string \enquote{human rights} is present in the English text of the resolution. Either TRUE or FALSE.
notes,3_thematic,String,0,Additional notes on the resolution. Curated by the UN Digital Library.
other\_titles,3_thematic,String,0,"The number, year, body, meeting number and date of the resolution in narrative text.  Curated by the UN Digital Library."
peace\_breach,3_thematic,Logical,1,Whether the strings \enquote{breach of the peace} or \enquote{breach of international peace} is present in the English text of the resolution.  Either TRUE or FALSE.
peace\_threat,3_thematic,Logical,1,"Whether the strings \enquote{threat to peace}, \enquote{threat to international peace} or \enquote{threat to the peace} are present in the English text of the resolution.  Either TRUE or FALSE."
self\_defence,3_thematic,Logical,1,Whether the strings \enquote{self-defense} or \enquote{self-defence} are present in the English text of the resolution.  Either TRUE or FALSE.
series,3_thematic,String,1,Indicates whether an Advisory Opinion was requested from the International Court of Justice. Curated by the UN Digital Library.
subjects,3_thematic,String,0,One or more thematic labels. Multiple labels are separated by vertical bars. Curated by the UN Digital Library.
summary,3_thematic,String,0,"A summary of the resolution, presumably human-created. Curated by the UN Digital Library."
title,3_thematic,String,0,"The number, year and topic of the resolution. Curated by the UN Digital Library. "
topic,3_thematic,String,0,A short description of the resolution’s specific topic. Example: \enquote{on withdrawal of USSR troops from Iran}. Extracted with REGEX from the \enquote{other\_titles} variable.
vote\_abstention,4_vote,Integer,1,The number of abstentions. Based on the variable \enquote{vote\_summary}.
vote\_date,4_vote,Date,0,The date of the vote on the resolution in the format YYYY-MM-DD (ISO 8601). Example: 1948-08-19. Curated by the UN Digital Library.
vote\_detail,4_vote,String,0,A breakdown of all votes by State. Curated by the UN Digital Library.
vote\_no,4_vote,Integer,1,The number of \enquote{no} votes. Extracted with REGEX from the variable \enquote{vote\_summary}.
vote\_nonvote,4_vote,Integer,1,The number of non-voting members. Extracted with REGEX from the variable \enquote{vote\_summary}.
vote\_summary,4_vote,String,0,"A narrative summary of the voting counts (yes, no, abstention, non-voting, total voting membership). Curated by the UN Digital Library."
vote\_total,4_vote,Integer,1,The total voting membership of the UN Security Council at the time of the vote. Extracted with REGEX from the variable \enquote{vote\_summary}.
vote\_yes,4_vote,Integer,1,The number of \enquote{yes} votes. Extracted with REGEX from the variable \enquote{vote\_summary}.
iso\_alpha3,5_geo,String,0,"The ISO 3166-1 Alpha-3 codes of all countries mentioned in the text of the resolution. Example: GBR. If more than one, separated by a pipe character. Extracted with REGEX from the English resolution text by searching for short names listed in the UN M49 standard (slightly modified for better accuracy, for example by adding \enquote{DPRK} for North Korea). Warning: a hit for the Congo will always show up when the Democratic Republic of the Congo (DRC) is mentioned. Further disambiguation is not possible because both the short name (Congo) and the full name (Republic of the Congo) are perfect subsets of the official name of the DRC."
iso\_name,5_geo,String,0,"The ISO 3166-1 Alpha-3 names of all countries mentioned in the resolution. Example: Afghanistan. If more than one, separated by a pipe character. Transformation of the variable \enquote{iso\_alpha3}."
m49\_countrycode,5_geo,String,0,"The UN M49 country codes of all countries mentioned in the resolution. Example: 818. If more than one, separated by a pipe character. Transformation of the variable \enquote{iso\_alpha3}."
m49\_region,5_geo,String,1,"The UN M49 regions of all countries mentioned in the resolution. Example: Americas. If more than one, separated by a pipe character. Transformation of the variable \enquote{iso\_alpha3}."
m49\_region\_intermediate,5_geo,String,1,"The UN M49 intermediate regions of all countries mentioned in the resolution. Example: South America. If more than one, separated by a pipe character. Note that not all countries have intermediate regions assigned. Transformation of the variable \enquote{iso\_alpha3}."
m49\_region\_sub,5_geo,String,1,"The UN M49 sub-regions of all countries mentioned in the resolution. Example: Latin America and the Caribbean. If more than one, separated by a pipe character. Transformation of the variable \enquote{iso\_alpha3}."
url\_record,6_url,String,0,The URL of the UN Digital Library record for the main resolution.
url\_record\_draft,6_url,String,0,The URL of the UN Digital Library record for the draft resolution.
url\_record\_meeting,6_url,String,0,The URL of the UN Digital Library record for the meeting transcript.
url\_res\_ar,6_url,String,0,The URL of the PDF file containing the Arabic resolution text. Hosted by the UN Digital Library.
url\_res\_en,6_url,String,0,The URL of the PDF file containing the English resolution text. Hosted by the UN Digital Library.
url\_res\_es,6_url,String,0,The URL of the PDF file containing the Spanish resolution text. Hosted by the UN Digital Library.
url\_res\_fr,6_url,String,0,The URL of the PDF file containing the French resolution text. Hosted by the UN Digital Library.
url\_res\_ru,6_url,String,0,The URL of the PDF file containing the Russian resolution text. Hosted by the UN Digital Library.
url\_res\_zh,6_url,String,0,The URL of the PDF file containing the Chinese resolution text. Hosted by the UN Digital Library.
url\_draft\_ar,6_url,String,0,The URL of the PDF file containing the Arabic draft text. Hosted by the UN Digital Library.
url\_draft\_en,6_url,String,0,The URL of the PDF file containing the English draft text. Hosted by the UN Digital Library.
url\_draft\_es,6_url,String,0,The URL of the PDF file containing the Spanish draft text. Hosted by the UN Digital Library.
url\_draft\_fr,6_url,String,0,The URL of the PDF file containing the French draft text. Hosted by the UN Digital Library.
url\_draft\_ru,6_url,String,0,The URL of the PDF file containing the Russian draft text. Hosted by the UN Digital Library.
url\_draft\_zh,6_url,String,0,The URL of the PDF file containing the Chinese draft text. Hosted by the UN Digital Library.
url\_meeting\_ar,6_url,String,0,The URL of the PDF file containing the Arabic meeting record text. Hosted by the UN Digital Library.
url\_meeting\_en,6_url,String,0,The URL of the PDF file containing the English meeting record text. Hosted by the UN Digital Library.
url\_meeting\_es,6_url,String,0,The URL of the PDF file containing the Spanish meeting record text. Hosted by the UN Digital Library.
url\_meeting\_fr,6_url,String,0,The URL of the PDF file containing the French meeting record text. Hosted by the UN Digital Library.
url\_meeting\_ru,6_url,String,0,The URL of the PDF file containing the Russian meeting record text. Hosted by the UN Digital Library.
url\_meeting\_zh,6_url,String,0,The URL of the PDF file containing the Chinese meeting record text. Hosted by the UN Digital Library.
doi\_concept,7_misc,String,1,The Digital Object Identifier (DOI) for the \emph{concept} of the data set. Resolving this DOI via www.doi.org allows researchers to always acquire the \emph{latest version} of the data set. The DOI is a persistent identifier suitable for stable long-term citation. Principle F1 of the FAIR Data Principles (\enquote{data are assigned globally unique and persistent identifiers}) recommends the documentation of each data set with a persistent identifier and Principle F3 its inclusion with the metadata. Even if the CSV data set is transmitted without the accompanying Codebook this allows researchers to establish provenance of the data. Added by the dataset authors.
doi\_version,7_misc,String,1,The Digital Object Identifier (DOI) for the \emph{specific version} of the data set. Resolving this DOI via www.doi.org allows researchers to always acquire this \emph{specific version} of the data set. The DOI is a persistent identifier suitable for stable long-term citation. Principle F1 of the FAIR Data Principles (\enquote{data are assigned globally unique and persistent identifiers}) recommends the documentation of each data set with a persistent identifier and Principle F3 its inclusion with the metadata. Even if the CSV data set is transmitted without the accompanying Codebook this allows researchers to establish provenance of the data.  Added by the dataset authors.
license,7_misc,String,1,The license for the data set. In this data set it is always Creative Commons Zero 1.0 Universal. Useful when merging individual rows with other data sets.  Added by the dataset authors.
version,7_misc,Date,0,The version of the data set as a date in the form YYYY-MM-DD (ISO-8601). The version represents the date on which the data set creation process was begun.  Added by the dataset authors.
